Problem,GPT_35_t0_v0,GPT_35_t0_v0_i2,GPT_35_t0_v0_i3,GPT_35_t0_v0_i4,GPT_35_t0_v1,GPT_35_t0_v1_i2,GPT_35_t1_v0,GPT_35_t1_v0_i2,GPT_35_t1_v0_i3,GPT_35_t1_v0_i4,GPT_35_t1_v1,GPT_35_t1_v1_i2,GPT_35_t1_v2,GPT_35_t1_v2_i2,GPT_35_t1_v3,GPT_35_t1_v3_i2,GPT_35_t2_v0,GPT_4_t0_v0,GPT_4_t0_v1,GPT_4_t1_v0,GPT_4_t1_v1,GPT_4_t1_v2,GPT_4_t1_v3,GPT_4_t2_v0
HE124,0.9,-,-,-,0.7,-,0.9,-,-,-,0.9,-,0.9,-,0.9,-,0.7,1.0,0.9,1.0,1.0,0.9,0.9,1.0
MBPP65,0.09999999999999998,-,-,-,0.0,-,0.20000000000000007,-,-,-,0.09999999999999998,-,0.30000000000000004,-,0.20000000000000007,-,0.7,0.20000000000000007,0.20000000000000007,0.9,1.0,1.0,1.0,1.0
MBPP577,1.0,-,-,-,1.0,-,1.0,-,-,-,1.0,-,1.0,-,0.9,-,-,0.9,0.7999999999999999,0.7999999999999999,0.9,0.9,0.9,-
CC1582A,0.4,-,-,-,0.4,-,0.5,-,-,-,0.4,-,0.5,-,0.5,-,-,0.5999999999999999,0.7,0.7,1.0,0.7,0.5999999999999999,-
CC1618C,0.7999999999999999,-,-,-,0.5,-,0.5999999999999999,-,-,-,0.4,-,0.5999999999999999,-,0.7999999999999999,-,0.09999999999999998,0.20000000000000007,0.30000000000000004,0.4,0.09999999999999998,0.9,0.20000000000000007,0.7
MBPP721,0.20000000000000007,0.9,-,-,0.7999999999999999,-,0.7999999999999999,-,-,-,0.7999999999999999,-,0.20000000000000007,-,0.5999999999999999,-,-,1.0,0.7999999999999999,0.7999999999999999,0.9,0.30000000000000004,0.9,-
HE4,1.0,-,-,-,0.9,-,1.0,-,-,-,1.0,-,1.0,-,1.0,-,-,1.0,1.0,1.0,1.0,0.9,1.0,-
MBPP12,1.0,-,-,-,1.0,-,1.0,-,-,-,1.0,-,1.0,-,1.0,-,-,1.0,1.0,1.0,1.0,1.0,1.0,-
MBPP626,0.4,-,-,-,0.30000000000000004,-,0.20000000000000007,-,-,-,0.4,-,0.4,-,0.09999999999999998,-,-,0.5999999999999999,0.30000000000000004,0.7999999999999999,0.7999999999999999,0.9,0.5999999999999999,-
CC1600E,0.0,-,-,-,0.09999999999999998,-,0.0,-,-,-,0.0,-,0.0,-,0.0,-,0.0,0.09999999999999998,0.0,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998
CC1586F,0.0,-,-,-,0.0,-,0.0,-,-,-,0.0,-,0.0,-,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HE44,0.7999999999999999,0.9,-,-,0.7999999999999999,-,0.0,0.09999999999999998,0.4,0.09999999999999998,0.0,-,0.20000000000000007,-,0.0,-,-,0.5,0.5999999999999999,0.4,0.5,0.4,0.5,-
HE48,1.0,-,-,-,1.0,-,1.0,-,-,-,1.0,-,1.0,-,1.0,-,-,1.0,1.0,1.0,1.0,1.0,1.0,-
HE55,0.9,-,-,-,1.0,-,1.0,-,-,-,0.7999999999999999,-,0.30000000000000004,-,1.0,-,-,1.0,1.0,1.0,1.0,0.9,0.9,-
CC1619B,0.0,-,-,-,0.0,-,0.0,-,-,-,0.0,-,0.0,-,0.0,-,0.0,0.20000000000000007,0.20000000000000007,0.09999999999999998,0.0,0.0,0.0,0.7999999999999999
MBPP160,0.9,-,-,-,0.9,-,0.5999999999999999,-,-,-,0.5999999999999999,-,0.30000000000000004,-,0.5,-,-,1.0,0.7999999999999999,0.7,0.5999999999999999,0.7,0.7,-
