,GPT_35_t0_v0,GPT_35_t0_v1,GPT_35_t1_v0,GPT_35_t1_v1,GPT_35_t1_v2,GPT_35_t1_v3,GPT_35_t2_v0,GPT_4_t0_v0,GPT_4_t0_v1,GPT_4_t1_v0,GPT_4_t1_v1,GPT_4_t1_v2,GPT_4_t1_v3,GPT_4_t2_v0
CC1575A,0.05,0,0.03333333333,0,0,0,0,0,0.5,0.6,0.5,0.2,0.3,0.5
CC1575H,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC1580B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC1582A,0.4,0.4,0.5,0.4,0.5,0.5,-,0.6,0.7,0.7,1,0.7,0.6,-
CC1582F2,0.1,0,0,0,0,0,0.1,0.4,0.2,0.1,0,0,0,0
CC1586F,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC1600E,0,0.1,0,0,0,0,0,0.1,0,0.1,0.1,0.1,0.1,0.1
CC1618C,0.8,0.5,0.6,0.4,0.6,0.8,0.1,0.2,0.3,0.4,0.1,0.9,0.2,0.7
CC1619B,0,0,0,0,0,0,0,0.2,0.2,0.1,0,0,0,0.8
CC1620C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HE11,1,1,1,1,0.9,1,-,1,1,1,0.9,0.9,0.9,-
HE111,1,1,1,1,1,1,-,1,1,1,1,1,1,-
HE124,0.9,0.7,0.9,0.9,0.9,0.9,0.7,1,0.9,1,1,0.9,0.9,1
HE127,0.6,0.7,0.7,0.5,0.3,0.6,0.8,0.8,0.7,0.4,0.8,0.1,0.7,1
HE156,1,1,1,1,1,1,-,1,1,0.9,1,1,1,-
HE160,0.8,1,0.8,1,0.5,0.6,0.8,1,1,0.8,0.7,0.8,0.8,0.9
HE162,1,1,1,1,1,1,-,1,1,1,1,1,1,-
HE18,1,1,1,1,1,1,-,1,1,1,1,1,1,-
HE31,1,1,1,1,0.9,1,-,1,1,1,1,1,1,-
HE4,1,0.9,1,1,1,1,-,1,1,1,1,0.9,1,-
HE44,0.85,0.8,0.15,0,0.2,0,-,0.5,0.6,0.4,0.5,0.4,0.5,-
HE48,1,1,1,1,1,1,-,1,1,1,1,1,1,-
HE51,1,1,0.7,0.9,0.9,0.1,-,1,1,1,0.6,0.8,0.5,-
HE55,0.9,1,1,0.8,0.3,1,-,1,1,1,1,0.9,0.9,-
HE6,1,1,1,1,0,1,-,1,1,1,1,0.7,1,-
HE89,1,1,0.8,0.8,0.7,0.9,-,0.8,1,0.4,0.7,0.2,0.9,-
MBPP103,0,0,0.1,0,0,0,-,0.6,0.3,0.6,0.6,0.5,0.8,-
MBPP12,1,1,1,1,1,1,-,1,1,1,1,1,1,-
MBPP129,1,1,1,1,1,0.9,-,1,1,0.9,0.9,1,0.8,-
MBPP160,0.9,0.9,0.6,0.6,0.3,0.5,-,1,0.8,0.7,0.6,0.7,0.7,-
MBPP163,0.9,1,1,0.7,0.8,0.9,-,1,1,1,1,1,1,-
MBPP311,0.1,0,0,0,0,0,0.6,0,0,0.1,0,0.1,0,0.2
MBPP390,0.9,0.9,0,0.4,0,0.3,-,1,1,0.8,0.9,0.1,0.7,-
MBPP392,1,1,1,0.9,1,1,0.9,0.9,0.5,0.9,0.1,0.7,0.9,0.8
MBPP428,1,1,1,1,1,1,-,1,1,1,1,0,1,-
MBPP577,1,1,1,1,1,0.9,-,0.9,0.8,0.8,0.9,0.9,0.9,-
MBPP59,0.9,0.7,0.7,0.6,0.4,0,-,1,1,1,1,1,1,-
MBPP603,0,0,0,0,0,0,0.4,0,0.1,0,0,0,0,0.2
MBPP626,0.4,0.3,0.2,0.4,0.4,0.1,-,0.6,0.3,0.8,0.8,0.9,0.6,-
MBPP65,0.1,0,0.2,0.1,0.3,0.2,0.7,0.2,0.2,0.9,1,1,1,1
MBPP72,0,0,0,0,0,0,0.7,0.2,0.1,0.4,0.4,0.3,0.3,1
MBPP721,0.55,0.8,0.8,0.8,0.2,0.6,-,1,0.8,0.8,0.9,0.3,0.9,-
MBPP765,0,0,0,0,0,0,0.2,0.5,0.7,0.9,0.7,0.7,0,0.9
MBPP783,0.1,0,0.5,0.4,0.3,0,-,0.6,0.3,1,1,1,1,-
YTDL1,0,0,0,0,0,0,-,0,0,0,0,0,0,-
YTDL2,0,0,0,0,0,0.1,0.2,0.1,0,0.1,0.1,0,0,0.3
YTDL3,0.6,0.3,0.5,0.6,0.6,0.7,-,0.8,0.9,1,1,0.8,0.9,-
YTDL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YTDL5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YTDL6,0,0.1,0,0,0,0,0,0.2,0.2,0,0,0.2,0,0.5
